Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Total Tokens (tokens),171.91,1.00,2000.00,2979416.00,3.00,3.00,3.00,6.00,28.00,342.00,500.00,592.00,850.00,232.21

Metric,Value
Benchmark Duration (sec),45.16
Input Token Throughput (tokens/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),65893.03
Replay Schedule Degraded,1.00
Replay Schedule Lag p50 (ms),4166.84
Replay Schedule Lag p90 (ms),9290.84
Replay Schedule Lag p99 (ms),10069.96
Request Count,17331.00
Request Throughput (requests/sec),383.29
Total Input Sequence Length (tokens),0.00
Total Output Sequence Length (tokens),2979416.00
Total Output Tokens (tokens),2979416.00
Total Token Throughput (tokens/sec),65893.03
Total Usage Completion Tokens (tokens),2979416.00
Total Usage Prompt Tokens (tokens),0.00
Total Usage Total Tokens (tokens),2979416.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
