Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),6890.63,919.00,29826.00,156396609.00,923.00,1004.80,1746.60,3219.00,6278.00,7269.00,13506.60,18495.20,26597.04,5096.16
Usage Total Tokens (tokens),7061.79,922.00,30029.00,160281504.00,1036.96,1402.00,2139.80,3274.00,6323.00,7323.00,13862.80,18866.20,27039.36,5150.81

Metric,Value
Benchmark Duration (sec),44.92
Input Token Throughput (tokens/sec),3473066.97
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86271.06
Replay Schedule Degraded,0.00
Replay Schedule Lag p50 (ms),3.54
Replay Schedule Lag p90 (ms),6.58
Replay Schedule Lag p99 (ms),11.15
Request Count,22697.00
Request Throughput (requests/sec),504.03
Total Input Sequence Length (tokens),156396609.00
Total Output Sequence Length (tokens),3884895.00
Total Output Tokens (tokens),3884895.00
Total Token Throughput (tokens/sec),3559338.02
Total Usage Completion Tokens (tokens),3884895.00
Total Usage Prompt Tokens (tokens),156396609.00
Total Usage Total Tokens (tokens),160281504.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
